City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,vila franca do campo,37.7167,-25.4333,23.82,99,11,4.96,PT,1697129105
84,edinburgh of the seven seas,-37.0676,-12.3116,13.07,73,7,5.48,SH,1697129105
85,remire-montjoly,4.9167,-52.2667,34.02,52,0,5.66,GF,1697129106
86,moroto,2.5345,34.6666,25.31,49,78,2.33,UG,1697129106
87,lorengau,-2.0226,147.2712,26.8,83,36,1.23,PG,1697128956
88,bredasdorp,-34.5322,20.0403,14.6,86,24,5.98,ZA,1697129107
89,khark,29.2614,50.3306,30.47,65,0,1.16,IR,1697129107
90,akureyri,65.6835,-18.0878,1.96,87,100,4.63,IS,1697128977
91,lebu,-37.6167,-73.65,11.36,66,0,9.42,CL,1697129108
92,al jawf,29.5,38.75,26.32,34,0,4.38,SA,1697129108
93,geraldton,-28.7667,114.6,17.23,55,96,3.6,AU,1697129109
94,lompoc,34.6391,-120.4579,21.08,65,0,3.6,US,1697128989
95,altai,46.3722,96.2583,5.36,42,0,2.14,MN,1697129109
96,mata-utu,-13.2816,-176.1745,27.28,82,100,7.35,WF,1697129110
97,port mathurin,-19.6833,63.4167,23.5,73,10,4.21,MU,1697128975
98,howrah,22.5892,88.3103,29.0,79,20,0.0,IN,1697129110
99,portland,45.5234,-122.6762,14.99,94,75,1.54,US,1697128912
100,sao felix do xingu,-6.6447,-51.995,40.84,19,11,1.75,BR,1697129111
101,huadian,42.9633,126.7478,9.22,66,31,1.16,CN,1697129111
102,eureka,40.8021,-124.1637,11.25,91,36,0.45,US,1697129112
103,mount pearl,47.5166,-52.7813,13.74,97,100,2.06,CA,1697129112
104,nogliki,51.8333,143.1667,11.86,58,65,6.26,RU,1697129112
105,ulaangom,49.9811,92.0667,8.05,65,9,1.12,MN,1697129113
106,karatsu,33.4425,129.9697,19.39,25,65,2.68,JP,1697129113
107,longyearbyen,78.2186,15.6401,-4.09,63,75,3.09,SJ,1697129113
108,aasiaat,68.7098,-52.8699,-7.62,76,66,5.54,GL,1697129114
109,garden city,42.3256,-83.331,16.01,76,100,3.09,US,1697129115
110,port elizabeth,-33.918,25.5701,19.16,75,20,8.49,ZA,1697129115
111,tomatlan,19.9333,-105.25,29.82,65,8,0.64,MX,1697129116
112,kodiak,57.79,-152.4072,2.73,60,100,6.17,US,1697129116
113,kani keli,-12.9536,45.1033,26.59,72,41,0.82,YT,1697129116
114,fonte boa,-2.4959,-66.2662,38.34,33,100,1.18,BR,1697129117
115,harper,4.375,-7.7169,25.73,87,87,2.11,LR,1697129117
116,bell ville,-32.6259,-62.6887,18.15,16,0,3.3,AR,1697129117
117,nemuro,43.3236,145.575,12.74,77,0,3.19,JP,1697129118
118,san patricio,28.017,-97.5169,29.39,67,80,3.96,US,1697129118
119,basco,20.4487,121.9702,27.69,77,58,9.62,PH,1697129118
120,janauba,-15.8025,-43.3089,37.42,19,5,2.78,BR,1697128885
121,goulburn,-34.75,149.7167,5.99,89,61,1.79,AU,1697129119
122,muynoq,43.7683,59.0214,11.57,59,98,6.6,UZ,1697129119
123,kiffa,16.6166,-11.4045,38.61,21,60,3.55,MR,1697129120
124,dunedin,-45.8742,170.5036,9.33,85,88,1.34,NZ,1697128951
125,avarua,-21.2078,-159.775,20.03,100,100,1.54,CK,1697129121
126,iida,35.5197,137.8207,11.13,97,22,1.43,JP,1697129121
127,lagoa,39.05,-27.9833,19.96,74,1,5.97,PT,1697129122
128,paracuru,-3.41,-39.0306,28.39,60,20,8.22,BR,1697129122
129,homer,59.6425,-151.5483,2.93,83,75,4.47,US,1697129122
130,olinda,-8.0089,-34.8553,28.85,70,75,5.66,BR,1697129123
131,abeche,13.8292,20.8324,32.5,25,100,2.57,TD,1697129123
132,champerico,14.3,-91.9167,30.3,75,68,1.67,GT,1697129123
133,thompson,55.7435,-97.8558,6.09,93,75,1.03,CA,1697128956
134,hermanus,-34.4187,19.2345,15.08,84,59,5.34,ZA,1697128953
135,constantia,44.1833,28.65,16.5,66,0,7.46,RO,1697129021
136,carnarvon,-24.8667,113.6333,24.04,61,89,5.6,AU,1697129125
137,atherton,53.5237,-2.4935,12.97,68,43,1.34,GB,1697129125
138,floro,61.5996,5.0328,8.98,66,75,5.14,NO,1697129125
139,la passe,45.5549,-0.8967,28.13,54,90,2.23,FR,1697129126
